Error Goal: 0.000001,max_subdivisions: 100000
,Type,Integral,Result,Error,Time,Subdivisions
,badly behaved,ln(1/x) from 0 to 1,-nan,nan,0.839838,103073
,badly behaved,x^2*sin(1/x) (oscillatory) from 0 to 0.63662,0.058568,0.000000,0.000116,48
,badly behaved,ln(abs(x-0.7)) from 0 to 1,-nan,nan,0.168213,100363
,badly behaved,sqrt(1-x^4)/x^(1-1/pi) from 0 to 1,2.998214,0.000000,5.034044,1701600
,badly behaved,e^x/(x^(1/pi) from 0 to 1,2.303905,0.000000,5.016679,2280727

Simpson 3/8 Rule:
,simple,sin(x) from 0 to 1,0.459698,0.000000,0.000017,2
,simple,x^2 from 0 to 1,0.333333,0.000000,0.000008,1
,simple,x^3 from 0 to 1,0.250000,0.000000,0.000005,1
,simple,x^10000 from 0 to 1,0.000100,0.000000,0.000051,17
,simple,3*x^4+4*x^3+76*x^2+58*x+4 from -20 to 0,1951146.666675,0.000008,0.000571,128
,simple,x^-1 from 1 to 2,0.693148,0.000001,0.000005,3
,simple,e^x from 0 to 1,1.718283,0.000001,0.000006,2
,simple,x^1/2 from 0 to 1,0.666665,0.000002,0.000025,17
,discontinuous,(e^x-1)/x (edge discontinuity) from 0 to 1,1.317905,0.000003,0.000004,1
,discontinuous,1/sqrt(abs(x)) (edge discontinuity) from -9 to 1,8.000010,0.000010,5.040029,3704844
,discontinuous,sin(x)*sqrt(1-x^2) (edge discontinuity) *note: answer only accurate to e-6 from 0 to 1,0.311735,0.000001,0.000043,17
,discontinuous,sin(x)/x (edge discontinuity) from 0 to 3,1.848649,0.000003,0.000016,3
,discontinuous,sqrt(abs(x-0.7)) (middle discontinuity) *note: answer only accurate to e-6 from 0 to 1,0.499984,0.000002,0.000033,23
,discontinuous,(x+2)(x-2)/(x-2) (middle discontinuity) from 1 to 3,8.000000,0.000000,0.000003,1
,discontinuous,floor(x) (middle discontinuity) from 0 to 2,1.250000,0.250000,0.000004,1
,discontinuous,piecewise (middle discontinuity) from 0 to 2,nan,nan,0.138443,100106
,badly behaved,e^x*ln(sin(x)) *note: answer only accurate to e-4 from 0 to 3.14159,-nan,nan,0.400824,102459
,badly behaved,ln(x) from 0 to 1,-nan,nan,0.375893,102121
,badly behaved,ln(x^2) from 8 to 9,4.278978,0.000000,0.000027,1
,badly behaved,ln(1/x) from 0 to 1,-nan,nan,1.188825,102049
,badly behaved,x^2*sin(1/x) (oscillatory) from 0 to 0.63662,0.058567,0.000000,0.000066,16
,badly behaved,ln(abs(x-0.7)) from 0 to 1,-nan,nan,0.182895,100304
,badly behaved,sqrt(1-x^4)/x^(1-1/pi) from 0 to 1,2.998215,0.000001,5.031074,1281092
,badly behaved,e^x/(x^(1/pi) from 0 to 1,2.303905,0.000001,5.012114,1881333

Boole's Rule:
,simple,sin(x) from 0 to 1,0.459698,0.000000,0.000009,1
,simple,x^2 from 0 to 1,0.333333,0.000000,0.000004,1
,simple,x^3 from 0 to 1,0.250000,0.000000,0.000004,1
,simple,x^10000 from 0 to 1,0.000100,0.000000,0.000035,13
,simple,3*x^4+4*x^3+76*x^2+58*x+4 from -20 to 0,1951146.666667,0.000000,0.000006,1
,simple,x^-1 from 1 to 2,0.693148,0.000001,0.000003,1
,simple,e^x from 0 to 1,1.718282,0.000000,0.000004,1
,simple,x^1/2 from 0 to 1,0.666666,0.000000,0.000018,10
,discontinuous,(e^x-1)/x (edge discontinuity) from 0 to 1,1.317902,0.000000,0.000003,1
,discontinuous,1/sqrt(abs(x)) (edge discontinuity) from -9 to 1,8.000008,0.000008,0.502640,371952
,discontinuous,sin(x)*sqrt(1-x^2) (edge discontinuity) *note: answer only accurate to e-6 from 0 to 1,0.311736,0.000000,0.000028,11
,discontinuous,sin(x)/x (edge discontinuity) from 0 to 3,1.848652,0.000001,0.000004,1
,discontinuous,sqrt(abs(x-0.7)) (middle discontinuity) *note: answer only accurate to e-6 from 0 to 1,0.499984,0.000002,0.000028,15
,discontinuous,(x+2)(x-2)/(x-2) (middle discontinuity) from 1 to 3,8.000000,0.000000,0.000003,1
,discontinuous,floor(x) (middle discontinuity) from 0 to 2,1.000000,0.000000,0.129927,100106
,discontinuous,piecewise (middle discontinuity) from 0 to 2,nan,nan,0.156053,100106
,badly behaved,e^x*ln(sin(x)) *note: answer only accurate to e-4 from 0 to 3.14159,-20.844948,0.000048,0.530994,100240
,badly behaved,ln(x) from 0 to 1,-nan,nan,0.251771,101080
,badly behaved,ln(x^2) from 8 to 9,4.278978,0.000000,0.000011,1
,badly behaved,ln(1/x) from 0 to 1,-nan,nan,0.843072,101025
,badly behaved,x^2*sin(1/x) (oscillatory) from 0 to 0.63662,0.058568,0.000001,0.000034,8
,badly behaved,ln(abs(x-0.7)) from 0 to 1,-nan,nan,0.164778,100074
,badly behaved,sqrt(1-x^4)/x^(1-1/pi) from 0 to 1,2.998215,0.000001,1.117330,329571
,badly behaved,e^x/(x^(1/pi) from 0 to 1,2.303904,0.000000,0.744227,334563
