Subdivisions: 100000
,Type,Integral,Result,Error,Time,
Midpoint Rule:
,discontinuous,floor(x) (middle discontinuity) from 0 to 2,1.000000,0.000000,0.004106
,discontinuous,piecewise (middle discontinuity) from 0 to 2,2.499997,0.000003,0.001705
,badly behaved,e^x*ln(sin(x)) *note: answer only accurate to e-4 from 0 to 3.14159,-20.847760,0.002860,0.034083
,badly behaved,ln(x) from 0 to 1,-1.000008,0.000008,0.008452
,badly behaved,ln(x^2) from 8 to 9,4.278978,0.000000,0.017963
,badly behaved,ln(1/x) from 0 to 1,1.000008,0.000008,0.015810
,badly behaved,x^2*sin(1/x) (oscillatory) from 0 to 0.63662,0.058568,0.000000,0.023094
,badly behaved,ln(abs(x-0.7)) from 0 to 1,-1.610914,0.000050,0.014851
,badly behaved,sqrt(1-x^4)/x^(1-1/pi) from 0 to 1,3.995052,0.996837,0.055028
,badly behaved,e^x/(x^(1/pi) from 0 to 1,2.304597,0.000693,0.040492

Simpson 3/8 Rule:
,simple,sin(x) from 0 to 1,0.459698,0.000000,0.012448
,simple,x^2 from 0 to 1,0.333333,0.000000,0.012832
,simple,x^3 from 0 to 1,0.250000,0.000000,0.038304
,simple,x^10000 from 0 to 1,0.000100,0.000000,0.060796
,simple,3*x^4+4*x^3+76*x^2+58*x+4 from -20 to 0,1951146.666668,0.000002,0.118197
,simple,x^-1 from 1 to 2,0.693147,0.000000,0.003078
,simple,e^x from 0 to 1,1.718282,0.000000,0.020280
,simple,x^1/2 from 0 to 1,0.666667,0.000000,0.005217
,discontinuous,(e^x-1)/x (edge discontinuity) from 0 to 1,1.317902,0.000000,0.020825
,discontinuous,1/sqrt(abs(x)) (edge discontinuity) from -9 to 1,16.852666,8.852666,0.006016
,discontinuous,sin(x)*sqrt(1-x^2) (edge discontinuity) *note: answer only accurate to e-6 from 0 to 1,0.311736,0.000000,0.024173
,discontinuous,sin(x)/x (edge discontinuity) from 0 to 3,1.848653,0.000000,0.024239
,discontinuous,sqrt(abs(x-0.7)) (middle discontinuity) *note: answer only accurate to e-6 from 0 to 1,0.499986,0.000000,0.009936
,discontinuous,(x+2)(x-2)/(x-2) (middle discontinuity) from 1 to 3,8.000000,0.000000,0.003101
