Advanced
max_subdivisions: 100000
,Error Goal 0.001
,Type,Integral,Result,Error,Time, AbsError
,discontinuous,piecewise (middle discontinuity) from 0 to 22.500000,2.500000,0.000000,0.000056
,badly behaved,e^x*ln(sin(x)) *note: answer only accurate to e-4 from 0 to 3.14159-19.825881,-19.825881,1.019019,0.000062
,badly behaved,ln(x) from 0 to 1-0.986917,-0.986917,0.013083,0.000048
,badly behaved,ln(x^2) from 8 to 94.278978,4.278978,0.000000,0.000057
,badly behaved,ln(1/x) from 0 to 10.986917,0.986917,0.013083,0.000040
,badly behaved,x^2*sin(1/x) (oscillatory) from 0 to 0.636620.058738,0.058738,0.000171,0.000047
,badly behaved,ln(abs(x-0.7)) from 0 to 1-1.564627,-1.564627,0.046238,0.000039
,badly behaved,sqrt(1-x^4)/x^(1-1/pi) from 0 to 12.421808,2.421808,0.576406,0.000056
,badly behaved,e^x/(x^(1/pi) from 0 to 12.277702,2.277702,0.026203,0.000039
,simple,sin(x) from 0 to 10.459698,0.459698,0.000000,0.000065,0.359949
,simple,x^2 from 0 to 10.333333,0.333333,0.000000,0.000043,0.599957
,simple,x^3 from 0 to 10.250000,0.250000,0.000000,0.000049,0.774569
,simple,x^10000 from 0 to 10.000006,0.000006,0.000094,0.000065,0.880096
,simple,3*x^4+4*x^3+76*x^2+58*x+4 from -20 to 01951146.666667,1951146.666667,0.000000,0.000064,0.938134
,simple,x^-1 from 1 to 20.693147,0.693147,0.000000,0.000049,0.968573
,simple,e^x from 0 to 11.718282,1.718282,0.000000,0.000067,0.984161
,simple,x^1/2 from 0 to 10.666667,0.666667,0.000001,0.000049,0.992049
,discontinuous,(e^x-1)/x (edge discontinuity) from 0 to 11.317902,1.317902,0.000000,0.000061,0.996017
,discontinuous,1/sqrt(abs(x)) (edge discontinuity) from -9 to 17.753787,7.753787,0.246213,0.000053,1.870735
,discontinuous,sin(x)*sqrt(1-x^2) (edge discontinuity) *note: answer only accurate to e-6 from 0 to 10.311737,0.311737,0.000001,0.000055,1.367749
,discontinuous,sin(x)/x (edge discontinuity) from 0 to 31.848653,1.848653,0.000000,0.000053,1.169508
,discontinuous,sqrt(abs(x-0.7)) (middle discontinuity) *note: answer only accurate to e-6 from 0 to 10.499992,0.499992,0.000006,0.000048,1.081477
,discontinuous,(x+2)(x-2)/(x-2) (middle discontinuity) from 1 to 38.000000,8.000000,0.000000,0.000058,1.039941
,discontinuous,floor(x) (middle discontinuity) from 0 to 21.000000,1.000000,0.000000,0.000057,1.019775
,discontinuous,piecewise (middle discontinuity) from 0 to 22.500000,2.500000,0.000000,0.000041,1.009839
,badly behaved,e^x*ln(sin(x)) *note: answer only accurate to e-4 from 0 to 3.14159-20.844624,-20.844624,0.000276,0.000056,1.007047
,badly behaved,ln(x) from 0 to 1-0.999996,-0.999996,0.000004,0.000058,1.003518
,badly behaved,ln(x^2) from 8 to 94.278978,4.278978,0.000000,0.000062,1.001757
,badly behaved,ln(1/x) from 0 to 10.999996,0.999996,0.000004,0.000056,1.000879
,badly behaved,x^2*sin(1/x) (oscillatory) from 0 to 0.636620.058554,0.058554,0.000014,0.000061,1.000440
,badly behaved,ln(abs(x-0.7)) from 0 to 1-1.609888,-1.609888,0.000976,0.000049,1.022745
,badly behaved,sqrt(1-x^4)/x^(1-1/pi) from 0 to 12.952158,2.952158,0.046056,0.000063,1.694369
,badly behaved,e^x/(x^(1/pi) from 0 to 12.303791,2.303791,0.000113,0.000054,1.302438
,simple,sin(x) from 0 to 10.459698,0.459698,0.000000,0.000129,0.000000
,simple,x^2 from 0 to 10.333333,0.333333,0.000000,0.000033,0.000000
,simple,x^3 from 0 to 10.250000,0.250000,0.000000,0.000028,0.000000
,simple,x^10000 from 0 to 10.000000,0.000000,0.000100,0.000033,0.000000
,simple,3*x^4+4*x^3+76*x^2+58*x+4 from -20 to 01951146.666667,1951146.666667,0.000000,0.000029,0.000000
,simple,x^-1 from 1 to 20.693147,0.693147,0.000000,0.000024,0.000000
,simple,e^x from 0 to 11.718282,1.718282,0.000000,0.000035,0.000000
,simple,x^1/2 from 0 to 10.666667,0.666667,0.000001,0.000036,0.000998
,discontinuous,(e^x-1)/x (edge discontinuity) from 0 to 11.317902,1.317902,0.000000,0.000035,0.000000
,discontinuous,1/sqrt(abs(x)) (edge discontinuity) from -9 to 18.000733,8.000733,0.000733,0.000060,0.007622
,discontinuous,sin(x)*sqrt(1-x^2) (edge discontinuity) *note: answer only accurate to e-6 from 0 to 10.311736,0.311736,0.000000,0.000069,0.000437
,discontinuous,sin(x)/x (edge discontinuity) from 0 to 31.848653,1.848653,0.000000,0.000041,0.000000
,discontinuous,sqrt(abs(x-0.7)) (middle discontinuity) *note: answer only accurate to e-6 from 0 to 10.499946,0.499946,0.000040,0.000043,0.000851
,discontinuous,(x+2)(x-2)/(x-2) (middle discontinuity) from 1 to 38.000000,8.000000,0.000000,0.000037,nan
,discontinuous,floor(x) (middle discontinuity) from 0 to 21.000000,1.000000,0.000000,0.000036,0.000000
